Element ID,Error ID,Specific Error Description,Measures,References
,PR2,The exit code is not set explicitly. 0 is used by the underlying Ruby or OS framework.,In almost every unit test the exit code is checked.,See unit tests.
s1,DS1,Wrong command line arguments used.,:greyitalic:`same as p1/PR1`,:greyitalic:`n/a`
,DS2,":greyitalic:`n/a, only read access`",:greyitalic:`n/a`,:greyitalic:`n/a`
s2,DS1,":greyitalic:`n/a, only write access`",:greyitalic:`n/a`,:greyitalic:`n/a`
,DS2,Error messages are not visible on console.,"The user might miss the information what went wrong, but the exit code != 0 indicates that something went wrong. A verifer will reject the commit.",:ref:`Integration Guide Verifier <integration_verifier>`
,DS2,":greyitalic:`n/a, only read access`",:greyitalic:`n/a`,:greyitalic:`n/a`
s4,DS1,":greyitalic:`n/a, only write access`",:greyitalic:`n/a`,:greyitalic:`n/a`
,DS2,Wrong exit code used.,:greyitalic:`same as p4/PR2 and p5/PR2`,:greyitalic:`n/a`
s5,DS1,Corrupted data leads to incorrect output of Dim.,:greyitalic:`same as p3/PR1.1 to p3/PR1.3`,:greyitalic:`n/a`
,DS2,Requirements are not available for subsequent steps or data is incomplete.,In most cases this is recognized by the user or in a review. Reviews are mandatory. Tested by unit tests.,":file:`export_spec.rb` |br|:file:`format_spec.rb`, |br|:ref:`Integration Guide Verifier <integration_verifier>`, |br|:ref:`Integration Guide Export <integration_export>`, |br|:ref:`Integration Guide Statistics <integration_stats>`"
s6,DS1,Wrong options used.,:greyitalic:`same as p1/PR1`,:greyitalic:`n/a`
,DS2,Command line arguments are ignored.,:greyitalic:`same as p1/PR2`,:greyitalic:`n/a`
s7,DS1,Wrong requirements data is loaded.,:greyitalic:`same as p2/PR1.1`,:greyitalic:`n/a`
,DS2,`Input files` are not formatted.,"When files cannot be written to the file system, an exception will be raised, which leads to an exit code != 0. A verifier will reject unformatted files.",:ref:`Integration Guide Verifier <integration_verifier>`
s8,DS1,":greyitalic:`n/a, only write access`",:greyitalic:`n/a`,:greyitalic:`n/a`
,DS2,`Separately stored formatted input files` not written or stay untouched.,"When files cannot be written to the file system, an exception will be raised. Beside that, these files are only used for previewing the formatting without touching the `Input files`. Changes are not committed, therefore there is no risk.",:greyitalic:`n/a`
s9,DS1,":greyitalic:`n/a, only write access`.",:greyitalic:`n/a`,:greyitalic:`n/a`
,DS2,`Exported files` are not written or stay untouched.,"When files cannot be written to the file system, an exception will be raised, which leads to an exit code != 0. A verifier will reject the commit. Export reviews are mandatory.",":ref:`Integration Guide Verifier <integration_verifier>`, |br|:ref:`Integration Guide Export <integration_export>`"
